trade_id,transaction_date,from_currency,from_amount,to_currency,to_amount
6247266,10/1/2025 0:19,UGX,4700,KES,170.611645
6247684,10/2/2025 3:44,UGX,142500,KES,5172.799875
6247360,10/2/2025 3:44,UGX,38097,KES,1382.934434
6248371,10/2/2025 6:17,UGX,76832,KES,2789.028491
6250498,10/2/2025 6:50,UGX,105056,KES,3813.56957
6251913,10/2/2025 7:16,UGX,4750,KES,172.4266625
508692851,10/2/2025 8:06,KES,1229.99,UGX,32555
508693080,10/2/2025 8:10,KES,15112.8,UGX,400000
6238511,10/2/2025 16:12,UGX,50373.75,KES,1847.869842
6253558,10/3/2025 6:28,KES,2700,UGX,70690.06515
508771477,10/3/2025 8:44,UGX,99163.2522,KES,3639
508810738,10/3/2025 16:05,UGX,43650.7,KES,1600
508919217,10/5/2025 14:34,KES,3050.85,UGX,80000
508936023,10/5/2025 20:51,KES,190.2224,UGX,4988
6255710,10/6/2025 6:36,UGX,5000,KES,183.2005
6257957,10/6/2025 7:27,UGX,65813.5,KES,2411.413221
6258696,10/6/2025 7:39,KES,380,UGX,9970.975206
508968112,10/6/2025 9:38,UGX,674785.2463,KES,24734
508987725,10/6/2025 13:55,UGX,55409.1063,KES,2031
508991692,10/6/2025 14:32,KES,4439.98,UGX,116426
508999818,10/6/2025 16:18,UGX,247372.501,KES,9091
509024947,10/7/2025 5:13,KES,62000.2093,UGX,1621514
6260537,10/7/2025 5:42,UGX,1280000,KES,47022.6176
6261868,10/7/2025 5:48,UGX,19048.5,KES,699.7736964
509034230,10/7/2025 7:27,UGX,6993.15,KES,257
509044117,10/7/2025 9:16,KES,9176.61,UGX,240000
509074063,10/7/2025 16:05,KES,575.95,UGX,15000
6263905,10/8/2025 6:32,UGX,17207,KES,634.7841253
6264212,10/8/2025 6:34,UGX,10000,KES,368.9104
6265959,10/9/2025 6:32,UGX,34358,KES,1267.720182
509181680,10/9/2025 7:41,UGX,273199.7112,KES,10084
509187828,10/9/2025 9:16,UGX,125925.452,KES,4648
509237441,10/9/2025 21:22,KES,2306.5,UGX,60000
509237582,10/9/2025 21:28,KES,307.53,UGX,8000
509247084,10/10/2025 5:46,UGX,45008.75,KES,1663
6266670,10/10/2025 6:25,UGX,600000,KES,22160.478
6268059,10/10/2025 6:31,UGX,51430.95,KES,1899.557393
6268375,10/10/2025 6:33,UGX,33250,KES,1228.059823
509255401,10/10/2025 7:24,KES,4613,UGX,120000
6270175,10/13/2025 5:41,UGX,209511,KES,7747.134339
6270497,10/13/2025 5:41,UGX,596600,KES,22060.60945
6272162,10/13/2025 5:47,UGX,190485,KES,7043.605752
6272733,10/13/2025 5:48,UGX,700000,KES,25884.054
509441570,10/13/2025 6:08,KES,5003.24,UGX,130000
6274061,10/13/2025 8:05,UGX,150119.91,KES,5551.016938
6274361,10/13/2025 8:05,KES,485,UGX,12609.99599
509454475,10/13/2025 8:13,UGX,378304.6439,KES,13994
509455690,10/13/2025 8:20,UGX,3000.7,KES,111
509525962,10/14/2025 6:57,UGX,69100.5944,KES,2558
509548225,10/14/2025 11:15,KES,5752,UGX,150000
6277886,10/15/2025 6:32,UGX,19048.5,KES,701.8015997
6279088,10/16/2025 6:22,KES,1928,UGX,50185.74053
6280194,10/16/2025 6:33,UGX,323000,KES,11917.85374
509770686,10/16/2025 13:51,UGX,4094224.92,KES,150000
509770887,10/16/2025 13:54,UGX,4094224.92,KES,150000
509771058,10/16/2025 13:56,UGX,1555805.47,KES,57000
6281859,10/17/2025 6:22,UGX,4500,KES,164.80296
6282019,10/17/2025 6:24,UGX,28246.98,KES,1034.485759
509831628,10/17/2025 10:46,UGX,243232.2953,KES,8860
509871869,10/17/2025 19:50,UGX,13177.3704,KES,480
509885585,10/18/2025 6:24,KES,1894.94,UGX,50000
6275956,10/19/2025 7:12,UGX,51430.95,KES,1872.731524
6284793,10/20/2025 6:53,KES,380,UGX,10033.53399
510001622,10/20/2025 7:39,KES,1229.97,UGX,32454
6288180,10/20/2025 7:49,KES,194,UGX,5122.272086
510008931,10/20/2025 9:43,UGX,55377.4933,KES,2012
510017434,10/20/2025 12:01,KES,1134.04,UGX,30000
510059220,10/21/2025 5:09,UGX,222633.9049,KES,8139
6288995,10/21/2025 5:47,UGX,2873.75,KES,105.0155899
6289728,10/21/2025 5:49,UGX,57145.5,KES,2088.270864
510061221,10/21/2025 5:56,UGX,227010.54,KES,8299
6291693,10/22/2025 5:46,UGX,17378,KES,634.2365246
510143549,10/22/2025 10:16,KES,11395.85,UGX,300000
510189022,10/23/2025 4:51,UGX,3422573.15,KES,124315
6293849,10/23/2025 6:43,UGX,104734.82,KES,3802.777828
510243105,10/23/2025 18:51,KES,1889.1,UGX,50000
510270690,10/24/2025 8:20,UGX,298719.1739,KES,10848
510282310,10/24/2025 10:48,KES,3784.47,UGX,100000
510292849,10/24/2025 13:52,KES,6799.97,UGX,179681
510317350,10/24/2025 22:03,KES,812.0023,UGX,21456
6296459,10/27/2025 5:44,UGX,1500000,KES,54540.885
6297083,10/27/2025 5:46,UGX,2873.75,KES,104.4912455
510437358,10/27/2025 7:35,UGX,228128.7322,KES,8298
510438502,10/27/2025 7:47,UGX,88991.6493,KES,3237
510439862,10/27/2025 8:08,KES,5001.18,UGX,132150
510441529,10/27/2025 8:33,UGX,58789.3257,KES,2138
510448470,10/27/2025 9:34,KES,17026.82,UGX,450000
510469130,10/27/2025 14:36,UGX,18010.76,KES,655
6302496,10/28/2025 8:25,KES,380,UGX,10049.79483
6302970,10/28/2025 8:26,UGX,2873.75,KES,104.4710143
6303723,10/28/2025 8:30,UGX,17374,KES,631.6065777
510557492,10/28/2025 20:05,KES,999.97,UGX,26363
510558549,10/28/2025 20:26,KES,4000.0136,UGX,105455
6304992,10/29/2025 6:59,KES,1938,UGX,51072.61288
510588307,10/29/2025 9:06,UGX,3999984.062,KES,145831
6307734,10/30/2025 6:53,UGX,36452.5,KES,1331.273733
6307762,10/30/2025 6:53,UGX,16149.05,KES,589.7759023
510658348,10/30/2025 8:17,UGX,233639.7352,KES,8536
