merchant_id,id,product_type,currency_pair,transaction_date,debitcurrency,debitamount,sentcurrency,sentamount,baserate,actualrate
3284403,6247266,F4B,UGX-KES,10/1/2025 0:19,UGX,4700,KES,170.611645,26.9970518,27.54794375
3360172,6247684,F4B,UGX-KES,10/2/2025 3:44,UGX,142500,KES,5172.799875,26.9970518,27.54794375
116439,6247360,F4B,UGX-KES,10/2/2025 3:44,UGX,38097,KES,1382.934434,26.9970518,27.54794375
708243,6248371,F4B,UGX-KES,10/2/2025 6:17,UGX,76832,KES,2789.028491,26.9970518,27.54794375
708243,6250498,F4B,UGX-KES,10/2/2025 6:50,UGX,105056,KES,3813.56957,26.9970518,27.54794375
2968298,6251913,F4B,UGX-KES,10/2/2025 7:16,UGX,4750,KES,172.4266625,26.9970518,27.54794375
3090500,508692851,F4B,KES-UGX,10/2/2025 8:06,KES,1229.99,UGX,32555,0.03704178,0.037781908
716454,508693080,F4B,KES-UGX,10/2/2025 8:10,KES,15112.8,UGX,400000,0.03704178,0.037782
193210,6238511,F4B,UGX-KES,10/2/2025 16:12,UGX,50373.75,KES,1847.869842,26.71590478,27.26044273
2909439,6253558,F4B,KES-UGX,10/3/2025 6:28,KES,2700,UGX,70690.06515,0.03743148,0.0381949
708243,508771477,F4B,UGX-KES,10/3/2025 8:44,UGX,99163.2522,KES,3639,26.71590478,27.250138
1759391,508810738,F4B,UGX-KES,10/3/2025 16:05,UGX,43650.7,KES,1600,26.7468348,27.2816875
716454,508919217,F4B,KES-UGX,10/5/2025 14:34,KES,3050.85,UGX,80000,0.03738819,0.038135625
716454,508936023,F4B,KES-UGX,10/5/2025 20:51,KES,190.2224,UGX,4988,0.03738819,0.038136006
3284403,6255710,F4B,UGX-KES,10/6/2025 6:36,UGX,5000,KES,183.2005,26.7468348,27.29250193
116439,6257957,F4B,UGX-KES,10/6/2025 7:27,UGX,65813.5,KES,2411.413221,26.7468348,27.29250193
2032400,6258696,F4B,KES-UGX,10/6/2025 7:39,KES,380,UGX,9970.975206,0.03738819,0.038110615
2248591,508968112,F4B,UGX-KES,10/6/2025 9:38,UGX,674785.2463,KES,24734,26.7468348,27.281687
1759391,508987725,F4B,UGX-KES,10/6/2025 13:55,UGX,55409.1063,KES,2031,26.7468348,27.281687
102388,508991692,F4B,KES-UGX,10/6/2025 14:32,KES,4439.98,UGX,116426,0.03738819,0.03813564
708243,508999818,F4B,UGX-KES,10/6/2025 16:18,UGX,247372.501,KES,9091,26.67724225,27.210703
64493,509024947,F4B,KES-UGX,10/7/2025 5:13,KES,62000.2093,UGX,1621514,0.03748572,0.038236
199840,6260537,F4B,UGX-KES,10/7/2025 5:42,UGX,1280000,KES,47022.6176,26.67724225,27.22094314
116439,6261868,F4B,UGX-KES,10/7/2025 5:48,UGX,19048.5,KES,699.7736964,26.67724225,27.22094314
194978,509034230,F4B,UGX-KES,10/7/2025 7:27,UGX,6993.15,KES,257,26.67724225,27.21070039
716454,509044117,F4B,KES-UGX,10/7/2025 9:16,KES,9176.61,UGX,240000,0.03748572,0.038235875
716454,509074063,F4B,KES-UGX,10/7/2025 16:05,KES,575.95,UGX,15000,0.03764391,0.038396667
